0: [[5, 3, 1, 10, 4, 2], [6, 8, 11, 9], [12, 7, 13]]
1: [[2, 5, 3, 1, 10, 4], [6, 8, 11, 9], [12, 7, 13]]
2: [[2, 5, 3, 1, 10, 4], [6, 8, 11, 9], [12, 7, 13]]
3: [[2, 5, 3, 1, 10, 4], [6, 8, 11, 9], [12, 7, 13]]
4: [[2, 5, 3, 1, 10, 4], [6, 8, 11, 9], [12, 7, 13]]
5: [[2, 5, 3, 1, 10, 4], [6, 8, 11, 9], [12, 7, 13]]
6: [[2, 5, 3, 1, 10], [4, 6, 8, 11, 9], [12, 7, 13]]
7: [[2, 5, 3, 1, 10], [4, 6, 8, 11, 9], [12, 7, 13]]
8: [[2, 5, 3, 1, 10], [4, 6, 8, 11, 9], [12, 7, 13]]
9: [[2, 5, 3, 1], [10, 4, 6, 8, 11, 9], [12, 7, 13]]
10: [[2, 5, 3, 1], [10, 4, 6, 8, 11, 9], [12, 7, 13]]
11: [[2, 5, 3, 1], [10, 4, 6, 8, 11, 9], [12, 7, 13]]
12: [[2, 5, 3, 1, 10, 4], [6, 8, 11], [9, 12, 7, 13]]
13: [[2, 5, 3, 1], [10, 4, 6, 8], [11, 9, 12, 7, 13]]
14: [[2, 5, 3, 1, 10, 4, 6], [8, 11, 9], [12, 7, 13]]
15: [[2, 5, 3, 1, 10, 4, 6], [8, 11, 9], [12, 7, 13]]
16: [[2, 5, 3, 1], [10, 4, 6, 8], [11, 9, 12, 7, 13]]
17: [[2, 5, 3, 1, 10], [4, 6, 8, 11], [9, 12, 7, 13]]
18: [[2, 5, 3, 1], [10, 4, 6, 8, 11], [9, 12, 7, 13]]
19: [[2, 5, 3, 1], [10, 4, 6, 8, 11], [9, 12, 7, 13]]
20: [[2, 5, 3, 1, 10], [4, 6, 8, 11], [9, 12, 7, 13]]
21: [[2, 5, 3, 1, 10], [4, 6, 8, 11], [9, 12, 7, 13]]
22: [[2, 5, 3, 1, 10, 4], [6, 8, 11, 9, 12], [7, 13]]
23: [[2, 5, 3, 1, 10, 4], [6, 8, 11, 9, 12], [7, 13]]
24: [[2, 5, 3, 1, 10, 4, 6], [8, 11], [9, 12, 7, 13]]
25: [[2, 5, 3], [1, 10, 4, 6, 8, 11], [9, 12, 7, 13]]
26: [[2, 5, 3, 1, 10, 4, 6], [8, 11, 9, 12], [7, 13]]
27: [[2, 5, 3, 1, 10, 4, 6], [8, 11, 9, 12], [7, 13]]
