0: [[5, 1, 3], [13, 7], [11, 9, 6, 4, 8, 10, 12, 2]]
1: [[5, 1, 3], [13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
2: [[5, 1, 3], [13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
3: [[5, 1, 3], [13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
4: [[5, 1, 3], [13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
5: [[5, 1, 3], [13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
6: [[5, 1], [3, 13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
7: [[5, 1], [3, 13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
8: [[5, 1], [3, 13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
9: [[5, 1], [3, 13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
10: [[5, 1], [3, 13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
11: [[5, 1], [3, 13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
12: [[5, 1], [3, 13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
13: [[5, 1], [3, 13, 7], [2, 11, 9, 6, 4, 8, 10, 12]]
14: [[5, 1, 3, 13], [7, 2], [11, 9, 6, 4, 8, 10, 12]]
15: [[5, 1, 3, 13], [7, 2], [11, 9, 6, 4, 8, 10, 12]]
16: [[5, 1, 3, 13, 7], [2, 11], [9, 6, 4, 8, 10, 12]]
17: [[5, 1, 3, 13, 7], [2, 11], [9, 6, 4, 8, 10, 12]]
18: [[5, 1], [3, 13, 7, 2], [11, 9, 6, 4, 8, 10, 12]]
19: [[5, 1], [3, 13, 7, 2], [11, 9, 6, 4, 8, 10, 12]]
20: [[5, 1], [3, 13, 7, 2], [11, 9, 6, 4, 8, 10, 12]]
21: [[5, 1], [3, 13, 7, 2, 11], [9, 6, 4, 8, 10, 12]]
22: [[5, 1], [3, 13], [7, 2, 11, 9, 6, 4, 8, 10, 12]]
23: [[5, 1], [3, 13], [7, 2, 11, 9, 6, 4, 8, 10, 12]]
24: [[5, 1], [3, 13], [7, 2, 11, 9, 6, 4, 8, 10, 12]]
25: [[5, 1], [3, 13], [7, 2, 11, 9, 6, 4, 8, 10, 12]]
26: [[5, 1], [3, 13], [7, 2, 11, 9, 6, 4, 8, 10, 12]]
27: [[5, 1], [3, 13], [7, 2, 11, 9, 6, 4, 8, 10, 12]]
