0: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
1: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
2: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
3: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
4: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
5: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
6: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
7: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
8: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
9: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
10: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
11: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
12: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
13: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
14: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
15: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
16: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
17: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
18: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
19: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
20: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
21: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
22: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
23: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
24: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
25: [[6, 3, 5, 2, 1, 8, 7, 10, 4, 9], [11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
26: [[6, 3, 5, 2, 1, 8, 7, 10, 4, 9], [11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
27: [[6, 3, 5, 2, 1, 8, 7, 10, 4, 9], [11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
28: [[6, 3, 5, 2, 1, 8, 7, 10, 4, 9], [11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
29: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13, 14], [15, 19, 18, 16, 17, 20]]
30: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13, 14], [15, 19, 18, 16, 17, 20]]
31: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12, 13, 14], [15, 19, 18, 16, 17, 20]]
32: [[6, 3, 5, 2, 1, 8, 7, 10], [4, 9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
33: [[6, 3, 5, 2, 1, 8, 7, 10], [4, 9, 11, 12, 13], [14, 15, 19, 18, 16, 17, 20]]
34: [[6, 3, 5, 2, 1, 8, 7, 10, 4, 9], [11, 12, 13, 14], [15, 19, 18, 16, 17, 20]]
35: [[6, 3, 5, 2, 1, 8, 7, 10, 4, 9], [11, 12, 13, 14], [15, 19, 18, 16, 17, 20]]
36: [[6, 3, 5, 2, 1, 8, 7, 10, 4, 9, 11], [12, 13], [14, 15, 19, 18, 16, 17, 20]]
37: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12], [13, 14, 15, 19, 18, 16, 17, 20]]
38: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12], [13, 14, 15, 19, 18, 16, 17, 20]]
39: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12], [13, 14, 15, 19, 18, 16, 17, 20]]
40: [[6, 3, 5, 2, 1, 8, 7, 10, 4], [9, 11, 12], [13, 14, 15, 19, 18, 16, 17, 20]]
41: [[6, 3, 5, 2, 1, 8, 7, 10], [4, 9, 11, 12], [13, 14, 15, 19, 18, 16, 17, 20]]
