0: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
1: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
2: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
3: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
4: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
5: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
6: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
7: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
8: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
9: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
10: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
11: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
12: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
13: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
14: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
15: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
16: [[10, 2, 5, 7, 1], [3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
17: [[10, 2, 5, 7, 1], [3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
18: [[10, 2, 5, 7, 1], [3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
19: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 9, 15, 4, 6], [16, 18, 19, 17, 20]]
20: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 18, 4, 9], [19, 17, 20]]
21: [[10, 2, 5, 7], [1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 18, 4, 9], [19, 17, 20]]
22: [[10, 2, 5, 7, 1], [3, 8], [12, 13], [14, 11, 6, 15, 16, 18, 4, 9], [19, 17, 20]]
23: [[10, 5, 7, 2], [1, 3], [8, 12], [13, 14, 11, 6, 9, 15, 16, 4], [18, 19, 17, 20]]
24: [[10, 5, 7, 2], [1, 3], [8, 12], [13, 14, 11, 6, 9, 15, 16, 4], [18, 19, 17, 20]]
25: [[10, 5, 7, 2], [1, 3], [8, 12], [13, 14, 11, 6, 9, 15, 16, 4], [18, 19, 17, 20]]
26: [[10, 5, 7, 2], [1, 3], [8, 12], [13, 14, 11, 6, 9, 15, 16, 4], [18, 19, 17, 20]]
27: [[10, 2, 5], [7, 1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
28: [[10, 2, 5], [7, 1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
29: [[10, 2, 5], [7, 1, 3, 8], [12, 13], [14, 11, 6, 15, 16, 4, 9], [18, 19, 17, 20]]
30: [[10, 5, 7, 2], [1, 3], [8, 12], [13, 14, 11, 6, 9, 4], [15, 16, 18, 19, 17, 20]]
31: [[5, 10], [7, 1, 2], [3, 8], [12, 13, 14, 11, 4, 6, 9, 15], [16, 18, 19, 17, 20]]
32: [[5, 10], [7, 1, 2], [3, 8], [12, 13, 14, 11, 4, 6, 9, 15], [16, 18, 19, 17, 20]]
33: [[10, 5, 7, 2], [1, 3], [8, 12], [13, 14, 11, 6, 9, 15, 4], [16, 18, 19, 17, 20]]
34: [[10, 5, 7, 2], [1, 3], [8, 12], [13, 14, 11, 6, 9, 15, 4], [16, 18, 19, 17, 20]]
35: [[10, 2, 5, 7], [1, 3, 8, 12], [13, 14], [11, 6, 9, 15, 16, 4], [18, 19, 17, 20]]
36: [[10, 2, 5, 7], [1, 3, 8, 12], [13, 14], [11, 6, 9, 15, 16, 4], [18, 19, 17, 20]]
37: [[10, 2, 5, 7, 1], [3, 8], [13, 14], [11, 6, 9, 15, 16, 18, 12, 4], [19, 17, 20]]
38: [[10, 2, 5, 7, 1], [3, 8], [13, 14], [11, 6, 9, 15, 16, 18, 12, 4], [19, 17, 20]]
39: [[10, 2, 5], [7, 1, 3], [8, 12], [13, 14, 11, 4, 6, 9, 15], [16, 18, 19, 17, 20]]
40: [[10, 2, 5], [7, 1, 3], [8, 12], [13, 14, 11, 4, 6, 9, 15], [16, 18, 19, 17, 20]]
41: [[10, 2, 5], [7, 1, 3, 8, 12], [13, 14], [11, 6, 9, 15, 16, 4], [18, 19, 17, 20]]
