0: [[1, 2, 3, 4, 6], [7, 10, 5, 8], [12, 13, 11, 9], [14, 17, 15, 16, 18, 19, 20]]
1: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
2: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
3: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
4: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
5: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
6: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
7: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
8: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
9: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
10: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
11: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
12: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
13: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
14: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
15: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
16: [[1, 2, 3, 6, 4], [7, 10, 5, 8], [9, 12, 13, 11, 14], [17, 15, 16, 18, 19, 20]]
17: [[6, 1, 2, 3, 4], [7, 10, 5, 8, 9], [12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
18: [[6, 1, 2, 3, 4], [7, 10, 5, 8, 9], [12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
19: [[1, 2, 3, 7, 6, 4], [10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
20: [[1, 2, 3, 7, 6, 4], [10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
21: [[1, 2, 3, 7, 6, 4], [10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
22: [[1, 2, 3, 7, 6, 4], [10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
23: [[1, 2, 3, 7, 6, 4], [10, 5, 8], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
24: [[1, 2, 3, 6, 4], [7, 10, 5], [8, 9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
25: [[1, 2, 3, 6, 4], [7, 10, 5], [8, 9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
26: [[1, 2, 3, 6, 4], [7, 10, 5], [8, 9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
27: [[1, 2, 3, 6, 4], [7, 10, 5], [8, 9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
28: [[1, 2, 3, 6, 4], [7, 10, 5], [8, 9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
29: [[1, 2, 3, 6, 4], [7, 10, 5], [8, 9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
30: [[1, 2, 3, 6, 4], [7, 10, 5, 8, 9], [12, 13, 11, 14], [17, 15, 16, 18, 19, 20]]
31: [[1, 2, 3, 6, 4], [7, 10, 5, 8, 9], [12, 13, 11, 14], [17, 15, 16, 18, 19, 20]]
32: [[1, 2, 3, 6, 4], [7, 10, 5], [8, 9, 12, 13, 11, 14], [17, 15, 16, 18, 19, 20]]
33: [[6, 1, 2, 3, 7, 4], [10, 5, 8, 9], [12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
34: [[6, 1, 2, 3, 7, 4], [10, 5, 8, 9], [12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
35: [[1, 2, 3, 6], [7, 10, 5, 8, 4], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
36: [[1, 2, 3, 6], [7, 10, 5, 8, 4], [9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
37: [[1, 2, 4, 6, 3], [7, 10, 5, 8], [9, 12, 13], [11, 14, 17, 15, 16, 18, 19, 20]]
38: [[1, 2, 4, 6, 3], [7, 10, 5, 8], [9, 12, 13], [11, 14, 17, 15, 16, 18, 19, 20]]
39: [[1, 2, 3, 6], [7, 10, 5, 4], [8, 9, 12, 13, 11], [14, 17, 15, 16, 18, 19, 20]]
40: [[1, 2, 3, 7, 10, 6, 4], [5, 8, 9], [12, 13, 11, 14], [17, 15, 16, 18, 19, 20]]
41: [[1, 2, 4, 6, 3], [7, 10, 5, 8], [9, 12], [13, 11, 14, 17, 15, 16, 18, 19, 20]]
