0: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
1: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
2: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
3: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
4: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
5: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
6: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
7: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14], [15, 16], [17, 19, 20, 18]]
8: [[3, 1], [7, 8, 2], [13, 4, 5], [10, 9], [12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
9: [[3, 1], [7, 8, 2], [13, 4], [5, 10], [9, 12, 11], [6, 14], [15, 16], [17, 19, 20, 18]]
10: [[3, 1, 7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14], [15, 16], [17, 19, 20, 18]]
11: [[3, 1], [7, 8, 2], [13, 4, 5, 10], [9, 12, 11], [6, 14], [15, 16], [17, 19, 20, 18]]
12: [[3, 1], [7, 8, 2], [13, 4], [5, 10], [9, 12, 11, 6], [14, 15, 16], [17, 19, 20, 18]]
13: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15], [16, 17, 19, 20, 18]]
14: [[3, 1], [7, 8, 2], [13, 4], [5, 10], [9, 12, 11], [6, 14, 15], [16, 17, 19, 20, 18]]
15: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11, 6, 14, 15, 16], [17, 19, 20, 18]]
16: [[3, 1, 7], [8, 2], [13, 4, 5], [10, 9, 12, 11], [6, 14, 15, 16], [17, 19, 20, 18]]
17: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11], [6, 14, 15], [16, 17, 19, 20], [18]]
18: [[3, 1], [7, 8, 2], [13, 4, 5], [10, 9], [12, 11], [6, 14, 15], [16, 17], [19, 20, 18]]
19: [[3, 1], [7, 8], [2, 13, 4], [5, 10], [9, 12, 11], [6, 14], [15, 16, 17], [19, 20, 18]]
20: [[3, 1, 7], [8, 2, 13, 4], [5, 10, 9], [12, 11], [6, 14, 15, 16], [17, 19], [20, 18]]
21: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9, 12], [11, 6, 14, 15], [16, 17, 19, 20, 18]]
22: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12, 11, 6], [14, 15, 16], [17, 19], [20, 18]]
23: [[3, 1], [7, 8, 2], [13, 4, 5], [10, 9, 12], [11, 6, 14, 15], [16, 17, 19, 20, 18]]
24: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9, 12], [11, 6, 14, 15, 16, 17, 19, 20, 18]]
25: [[3, 1, 7], [8, 2, 13], [4, 5], [10, 9], [12, 11], [6, 14], [15, 16, 17], [19, 20, 18]]
26: [[3, 1], [7, 8, 2], [13, 4], [5, 10, 9], [12], [11, 6, 14, 15, 16, 17, 19, 20, 18]]
27: [[3, 1, 7], [8, 2], [13, 4], [5, 10, 9, 12], [11, 6, 14, 15], [16, 17, 19, 20, 18]]
28: [[3, 1], [7, 8], [2, 13, 4, 5, 10, 9, 12], [11, 6, 14, 15], [16, 17, 19, 20, 18]]
29: [[3, 1], [7, 8, 2], [13, 4, 5], [10, 9, 12], [11, 6], [14, 15], [16, 17], [19, 20, 18]]
30: [[3, 1, 7], [8, 2, 13], [4, 5], [10, 9], [12, 11], [6, 14, 15], [16, 17], [19, 20, 18]]
31: [[3, 1], [7, 8, 2], [13, 4, 5], [10, 9, 12, 11, 6, 14, 15, 16, 17, 19, 20, 18]]
32: [[3, 1, 7], [8, 2], [13, 4, 5], [10, 9], [12, 11, 6, 14], [15, 16, 17, 19], [20, 18]]
33: [[3, 1, 7], [8, 2, 13, 4, 5, 10, 9, 12, 11], [6, 14, 15, 16, 17, 19, 20, 18]]
34: [[3, 1], [7, 8], [2, 13, 4], [5, 10, 9], [12, 11, 6], [14, 15], [16, 17], [19, 20, 18]]
35: [[3, 1], [7, 8], [2, 13, 4], [5, 10, 9], [12, 11, 6], [14, 15], [16, 17], [19, 20, 18]]
36: [[3, 1, 7], [8, 2], [13, 4, 5], [10, 9, 12], [11, 6], [14, 15, 16], [17, 19], [20, 18]]
37: [[3, 1, 7, 8, 2, 13], [4, 5, 10, 9], [12, 11, 6, 14, 15, 16, 17, 19, 20, 18]]
38: [[3, 1, 7, 8], [2, 13, 4, 5], [10, 9, 12, 11, 6, 14, 15, 16, 17, 19, 20, 18]]
39: [[3, 1], [7, 8], [2, 13, 4], [5, 10, 9, 12, 11, 6, 14, 15, 16, 17, 19, 20, 18]]
