0: [[4, 3, 1], [5, 2, 7, 10, 6, 8], [13, 9, 12, 11], [14, 15, 16], [19, 18, 17, 20]]
1: [[4, 3, 1], [5, 2, 7], [10, 6, 8], [13, 9, 12, 11], [14, 15, 16], [19, 18, 17, 20]]
2: [[4, 3, 1], [5, 2, 7], [10, 6, 8], [13, 9], [12, 11], [14, 15, 16], [19, 18, 17, 20]]
3: [[4, 3, 1, 5], [2, 7], [10, 6, 8], [13, 9, 12, 11], [14, 15, 16], [19, 18, 17, 20]]
4: [[4, 3, 1], [5, 2, 7], [10, 6, 8], [13, 9, 12, 11], [14, 15, 16, 19], [18, 17, 20]]
5: [[4, 3, 1], [5, 2, 7], [10, 6, 8, 13], [9, 12, 11], [14, 15, 16], [19, 18, 17, 20]]
6: [[4, 3, 1], [5, 2, 7], [10, 6, 8], [13, 9, 12, 11], [14, 15, 16, 19, 18, 17, 20]]
7: [[4, 3, 1], [5, 2, 7], [10, 6, 8, 13], [9, 12, 11], [14, 15, 16], [19, 18, 17, 20]]
8: [[4, 3], [1, 5, 2, 7], [10, 6, 8, 13], [9, 12, 11], [14, 15, 16], [19, 18, 17, 20]]
9: [[4, 3], [1, 5, 2], [7, 10, 6, 8], [13, 9, 12], [11, 14, 15, 16], [19, 18, 17, 20]]
10: [[4, 3], [1, 5, 2], [7, 10, 6, 8], [13, 9, 12], [11, 14, 15, 16], [19, 18, 17, 20]]
11: [[4, 3, 1], [5, 2, 7], [10, 6, 8], [13, 9], [12, 11, 14], [15, 16], [19, 18, 17, 20]]
12: [[4, 3, 1], [5, 2, 7], [10, 6, 8], [13, 9], [12, 11], [14, 15], [16, 19, 18, 17, 20]]
13: [[4, 3], [1, 5, 2], [7, 10, 6], [8, 13, 9, 12], [11, 14, 15, 16], [19, 18, 17, 20]]
14: [[4, 3, 1], [5, 2, 7], [10, 6, 8], [13, 9, 12], [11, 14, 15], [16, 19, 18, 17, 20]]
15: [[4, 3, 1], [5, 2, 7], [10, 6, 8, 13], [9, 12, 11], [14, 15], [16, 19, 18, 17, 20]]
16: [[4, 3, 1, 5], [2, 7, 10, 6], [8, 13, 9], [12, 11], [14, 15, 16, 19], [18, 17, 20]]
17: [[4, 3, 1], [5, 2, 7, 10], [6, 8, 13, 9, 12, 11, 14, 15], [16, 19, 18, 17, 20]]
18: [[4, 3], [1, 5], [2, 7, 10, 6, 8], [13, 9, 12, 11, 14], [15, 16, 19, 18, 17, 20]]
19: [[4, 3, 1], [5, 2, 7], [10, 6, 8], [13, 9, 12], [11, 14], [15, 16, 19], [18, 17, 20]]
20: [[4, 3], [1, 5, 2, 7], [10, 6, 8], [13, 9, 12], [11, 14, 15, 16, 19], [18, 17, 20]]
21: [[4, 3], [1, 5, 2], [7, 10, 6, 8], [13, 9, 12], [11, 14, 15, 16, 19], [18, 17, 20]]
22: [[4, 3, 1], [5, 2, 7], [10, 6], [8, 13], [9, 12, 11], [14, 15, 16, 19], [18, 17, 20]]
23: [[4, 3], [1, 5, 2], [7, 10, 6, 8, 13], [9, 12, 11, 14], [15, 16, 19, 18, 17, 20]]
24: [[4, 3], [1, 5, 2], [7, 10, 6], [8, 13], [9, 12, 11, 14], [15, 16, 19, 18, 17, 20]]
25: [[4, 3], [1, 5, 2, 7, 10], [6, 8, 13], [9, 12, 11, 14], [15, 16, 19, 18, 17, 20]]
26: [[4, 3], [1, 5], [2, 7, 10, 6, 8], [13, 9, 12], [11, 14, 15], [16, 19, 18, 17, 20]]
27: [[4, 3], [1, 5, 2], [7, 10, 6], [8, 13, 9, 12], [11, 14, 15, 16, 19], [18, 17, 20]]
28: [[4, 3, 1], [5, 2, 7, 10], [6, 8, 13], [9, 12], [11, 14], [15, 16], [19, 18, 17, 20]]
29: [[4, 3], [1, 5, 2], [7, 10], [6, 8, 13], [9, 12, 11], [14, 15, 16, 19], [18, 17, 20]]
30: [[4, 3], [1, 5, 2], [7, 10], [6, 8], [13, 9, 12], [11, 14, 15], [16, 19, 18, 17, 20]]
31: [[4, 3], [1, 5], [2, 7, 10, 6], [8, 13], [9, 12, 11], [14, 15, 16, 19, 18, 17, 20]]
32: [[4, 3, 1], [5, 2, 7, 10], [6, 8, 13, 9], [12, 11, 14, 15], [16, 19, 18], [17, 20]]
33: [[4, 3, 1], [5, 2, 7, 10, 6], [8, 13, 9, 12, 11, 14, 15, 16, 19, 18, 17, 20]]
34: [[4, 3], [1, 5, 2], [7, 10, 6, 8, 13], [9, 12, 11, 14], [15, 16, 19, 18, 17], [20]]
35: [[4, 3, 1], [5, 2, 7, 10], [6, 8, 13, 9, 12, 11, 14, 15, 16, 19, 18, 17, 20]]
36: [[4, 3], [1, 5, 2, 7], [10, 6], [8, 13, 9, 12, 11, 14, 15, 16, 19], [18, 17, 20]]
37: [[4, 3, 1, 5, 2, 7], [10, 6, 8, 13], [9, 12, 11, 14, 15, 16, 19], [18, 17, 20]]
38: [[4, 3], [1, 5], [2, 7, 10], [6, 8, 13, 9], [12, 11, 14, 15], [16, 19, 18, 17, 20]]
39: [[4, 3], [1, 5, 2, 7], [10, 6, 8, 13], [9, 12], [11, 14, 15, 16, 19, 18], [17, 20]]
40: [[4, 3, 1, 5], [2, 7], [10, 6, 8, 13], [9, 12, 11, 14, 15, 16, 19, 18, 17, 20]]
41: [[4, 3], [1, 5, 2, 7], [10, 6, 8, 13, 9, 12, 11, 14, 15, 16, 19, 18, 17, 20]]
