0: [[9, 13], [3, 8, 1], [2, 16, 6, 7, 5, 4, 10], [14, 15], [11, 12], [17, 20, 19, 18]]
1: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10, 14, 15], [11, 12], [17, 20, 19, 18]]
2: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10, 14, 15], [11, 12], [17, 20, 19, 18]]
3: [[9, 13], [3, 8], [1, 2, 16], [6, 7, 5, 4, 10], [14, 15], [11, 12], [17, 20, 19, 18]]
4: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5, 4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
5: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5, 4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
6: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12, 17], [20, 19, 18]]
7: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5, 4, 10], [14, 15, 11], [12, 17, 20, 19, 18]]
8: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10, 14, 15], [11, 12], [17, 20], [19, 18]]
9: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10, 14], [15, 11, 12, 17, 20, 19, 18]]
10: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
11: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
12: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
13: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
14: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
15: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
16: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
17: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
18: [[9, 13], [3, 8], [1, 2], [16, 6, 7], [5, 4, 10], [14, 15, 11, 12, 17, 20, 19, 18]]
19: [[9, 13], [3, 8, 1], [2, 16, 6], [7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
20: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10, 14, 15, 11, 12, 17, 20, 19, 18]]
21: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10, 14, 15, 11, 12, 17, 20, 19, 18]]
22: [[9, 13], [3, 8], [1, 2], [16, 6, 7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
23: [[9, 13], [3, 8], [1, 2], [16, 6, 7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
24: [[9, 13], [3, 8], [1, 2, 16, 6, 7], [5, 4], [10, 14], [15, 11, 12, 17], [20, 19, 18]]
25: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15], [11, 12, 17, 20], [19, 18]]
26: [[9, 13], [3, 8], [1, 2, 16, 6, 7, 5], [4, 10], [14, 15], [11, 12], [17, 20, 19], [18]]
27: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10, 14, 15, 11], [12, 17, 20], [19, 18]]
28: [[9, 13], [3, 8, 1], [2, 16, 6, 7], [5, 4], [10, 14], [15, 11], [12, 17], [20, 19, 18]]
29: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5], [4, 10], [14, 15, 11], [12, 17, 20], [19, 18]]
30: [[9, 13], [3, 8, 1], [2, 16, 6], [7, 5, 4], [10, 14], [15, 11], [12, 17, 20, 19, 18]]
31: [[9, 13], [3, 8, 1, 2, 16, 6, 7, 5, 4, 10, 14, 15], [11, 12, 17, 20, 19, 18]]
32: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5, 4, 10, 14, 15, 11, 12, 17, 20], [19, 18]]
33: [[9, 13], [3, 8], [1, 2], [16, 6], [7, 5, 4, 10, 14, 15, 11, 12, 17, 20, 19, 18]]
34: [[9, 13], [3, 8], [1, 2, 16], [6, 7], [5, 4], [10, 14], [15, 11, 12], [17, 20], [19, 18]]
35: [[9, 13], [3, 8, 1], [2, 16, 6], [7, 5, 4], [10, 14], [15, 11], [12, 17, 20], [19, 18]]
36: [[9, 13], [3, 8], [1, 2], [16, 6, 7, 5, 4, 10, 14, 15, 11, 12, 17, 20, 19, 18]]
37: [[9, 13], [3, 8], [1, 2], [16, 6, 7, 5, 4, 10, 14, 15, 11, 12, 17, 20, 19, 18]]
38: [[9, 13], [3, 8], [1, 2, 16, 6, 7, 5, 4, 10, 14, 15, 11, 12, 17, 20, 19, 18]]
39: [[9, 13, 3], [8, 1], [2, 16], [6, 7, 5], [4, 10], [14, 15], [11, 12], [17, 20], [19, 18]]
40: [[9, 13], [3, 8], [1, 2, 16, 6, 7, 5, 4, 10, 14, 15, 11, 12, 17, 20, 19, 18]]
41: [[9], [13, 3, 8, 1, 2, 16, 6, 7, 5, 4, 10, 14, 15, 11, 12, 17, 20, 19], [18]]
