0: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 14, 15, 4, 16], [17, 19, 18, 20]]
1: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
2: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
3: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
4: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
5: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
6: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
7: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
8: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
9: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
10: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
11: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
12: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
13: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
14: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
15: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
16: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
17: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
18: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
19: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
20: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
21: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
22: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
23: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
24: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
25: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
26: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
27: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
28: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
29: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
30: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
31: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
32: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
33: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
34: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
35: [[7, 5, 1, 10, 2], [11, 3, 13, 8, 12], [9, 6, 15, 14, 4, 16], [17, 19, 18, 20]]
36: [[7, 5, 1, 10, 2, 11], [3, 13, 8, 12, 9], [6, 14, 15, 16, 4], [17, 19, 18, 20]]
37: [[7, 5, 1, 10, 2, 11], [3, 13, 8, 12, 9], [6, 15, 14, 16, 4], [17, 19, 18, 20]]
38: [[7, 5, 1, 10, 2, 11], [3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
39: [[7, 5, 1, 10, 2, 11], [3, 13, 8, 12, 9], [6, 15, 14, 16, 4], [17, 19, 18, 20]]
40: [[7, 5, 1, 10, 2, 11], [3, 13, 8, 12, 9], [6, 4, 15, 14, 16], [17, 19, 18, 20]]
41: [[7, 5, 1, 10, 2, 11], [3, 13, 8, 12, 9], [6, 4, 14, 15, 16], [17, 19, 18, 20]]
