0: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
1: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
2: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
3: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
4: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
5: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
6: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
7: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
8: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
9: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
10: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
11: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
12: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
13: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
14: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
15: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
16: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
17: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
18: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
19: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
20: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
21: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
22: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
23: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
24: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
25: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
26: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
27: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
28: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
29: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
30: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
31: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
32: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
33: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
34: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
35: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
36: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
37: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
38: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
39: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 16, 6], [19, 18, 20, 17]]
40: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 17, 6], [19, 18, 20, 16]]
41: [[10, 5, 7], [1, 8, 2], [3, 13, 11, 9, 4], [14, 12, 15, 20, 6], [19, 18, 16, 17]]
