0: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
1: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
2: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
3: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
4: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
5: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
6: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
7: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
8: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
9: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
10: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
11: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
12: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
13: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
14: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
15: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
16: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
17: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
18: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
19: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
20: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
21: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
22: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
23: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
24: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
25: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
26: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
27: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
28: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
29: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
30: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
31: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
32: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
33: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
34: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
35: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
36: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
37: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
38: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
39: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
40: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
41: [[1, 8, 10], [12, 11, 13], [3, 7, 5, 9], [6, 16, 2, 14, 4], [17, 19, 20, 18, 15]]
