0: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
1: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
2: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
3: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
4: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
5: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
6: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
7: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
8: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
9: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
10: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
11: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
12: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
13: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
14: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
15: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
16: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
17: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
18: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
19: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
20: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
21: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
22: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
23: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
24: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
25: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
26: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
27: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
28: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
29: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
30: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
31: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
32: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
33: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
34: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
35: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
36: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
37: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
38: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
39: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
40: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
41: [[6, 16, 3, 10, 7, 5, 9], [2, 4, 13, 1, 14, 8], [18, 19, 15, 12, 11, 17, 20]]
