0: [[11, 1, 3], [16, 4, 6], [2, 8, 5, 10, 7], [9, 12, 13], [14, 15], [20, 17, 19, 18]]
1: [[11, 1, 3], [16, 4, 6, 2], [8, 5, 10, 7], [9, 12, 13], [14, 15], [20, 17, 19, 18]]
2: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7], [9, 12, 13], [14, 15], [20, 17, 19, 18]]
3: [[11, 1, 3], [16, 4, 6], [2, 8], [5, 10], [7, 9, 12, 13], [14, 15], [20, 17, 19, 18]]
4: [[11, 1, 3], [16, 4, 6], [2, 8], [5, 10, 7], [9, 12, 13], [14, 15, 20, 17], [19, 18]]
5: [[11, 1, 3], [16, 4, 6], [2, 8], [5, 10, 7], [9, 12, 13], [14, 15, 20, 17], [19, 18]]
6: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7, 9], [12, 13], [14, 15, 20, 17, 19, 18]]
7: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7, 9, 12, 13], [14, 15], [20, 17, 19, 18]]
8: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7, 9], [12, 13], [14, 15, 20], [17, 19, 18]]
9: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7], [9, 12, 13], [14, 15, 20], [17, 19, 18]]
10: [[11, 1, 3], [16, 4, 6], [2, 8], [5, 10, 7, 9], [12, 13, 14, 15, 20, 17, 19, 18]]
11: [[11, 1, 3], [16, 4, 6], [2, 8, 5, 10], [7, 9, 12, 13], [14, 15, 20, 17], [19, 18]]
12: [[11, 1, 3], [16, 4, 6], [2, 8], [5, 10], [7, 9], [12, 13], [14, 15, 20], [17, 19, 18]]
13: [[11, 1, 3], [16, 4, 6], [2, 8, 5, 10], [7, 9, 12, 13], [14, 15, 20, 17], [19, 18]]
14: [[11, 1, 3], [16, 4, 6], [2, 8, 5, 10], [7, 9, 12, 13], [14, 15, 20, 17], [19, 18]]
15: [[11, 1, 3], [16, 4, 6], [2, 8, 5, 10, 7, 9, 12, 13], [14, 15, 20, 17, 19, 18]]
16: [[11, 1, 3], [16, 4], [6, 2, 8], [5, 10, 7], [9, 12, 13], [14, 15], [20, 17], [19, 18]]
17: [[11, 1, 3], [16, 4, 6, 2], [8, 5, 10, 7, 9], [12, 13, 14, 15, 20, 17, 19, 18]]
18: [[11, 1, 3], [16, 4, 6, 2, 8], [5, 10], [7, 9, 12, 13], [14, 15, 20], [17, 19, 18]]
19: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7, 9], [12, 13, 14, 15, 20, 17, 19, 18]]
20: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7], [9, 12, 13, 14], [15, 20], [17, 19, 18]]
21: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7, 9], [12, 13, 14], [15, 20], [17, 19, 18]]
22: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7, 9], [12, 13, 14], [15, 20], [17, 19, 18]]
23: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7, 9], [12, 13, 14], [15, 20, 17], [19, 18]]
24: [[11, 1, 3], [16, 4, 6, 2], [8, 5, 10], [7, 9], [12, 13, 14, 15, 20, 17, 19, 18]]
25: [[11, 1, 3], [16, 4, 6, 2, 8], [5, 10, 7, 9, 12, 13, 14, 15], [20, 17, 19, 18]]
26: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7], [9, 12], [13, 14, 15, 20, 17, 19, 18]]
27: [[11, 1, 3], [16, 4, 6], [2, 8, 5, 10], [7, 9, 12], [13, 14], [15, 20, 17], [19, 18]]
28: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7], [9, 12, 13, 14, 15, 20, 17], [19, 18]]
29: [[11, 1, 3], [16, 4, 6, 2], [8, 5], [10, 7, 9, 12, 13, 14], [15, 20, 17, 19, 18]]
30: [[11, 1, 3], [16, 4, 6], [2, 8], [5, 10], [7, 9, 12], [13, 14, 15], [20, 17, 19], [18]]
31: [[11, 1, 3], [16, 4, 6], [2, 8], [5, 10], [7, 9, 12, 13, 14, 15, 20, 17, 19, 18]]
32: [[11, 1], [3, 16, 4], [6, 2, 8], [5, 10, 7], [9, 12, 13], [14, 15, 20], [17, 19, 18]]
33: [[11, 1, 3], [16, 4], [6, 2], [8, 5, 10, 7], [9, 12], [13, 14, 15], [20, 17, 19], [18]]
34: [[11, 1, 3, 16, 4], [6, 2, 8, 5, 10, 7, 9, 12], [13, 14, 15, 20, 17, 19, 18]]
35: [[11, 1, 3], [16, 4, 6], [2, 8, 5], [10, 7, 9, 12, 13, 14, 15, 20, 17, 19, 18]]
36: [[11, 1, 3], [16, 4], [6, 2, 8], [5, 10], [7, 9, 12, 13, 14, 15, 20, 17, 19, 18]]
37: [[11, 1], [3, 16, 4], [6, 2], [8, 5], [10, 7, 9], [12, 13], [14, 15, 20], [17, 19, 18]]
38: [[11, 1, 3], [16, 4], [6, 2, 8], [5, 10, 7, 9, 12, 13, 14, 15, 20, 17, 19, 18]]
39: [[11, 1], [3, 16, 4], [6, 2, 8], [5, 10], [7, 9, 12], [13, 14, 15, 20, 17, 19, 18]]
