0: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
1: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
2: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
3: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
4: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
5: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
6: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
7: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
8: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
9: [[5, 4, 3, 1], [10, 12, 2], [7, 6, 11, 8, 9, 13]]
10: [[5, 4, 3, 1, 10], [12, 2], [7, 6, 11, 8, 9, 13]]
11: [[5, 4, 3, 1, 10], [12, 2], [7, 6, 11, 8, 9, 13]]
12: [[5, 4, 3, 1, 10], [12, 2], [7, 6, 11, 8, 9, 13]]
13: [[5, 4, 3, 1, 10], [12, 2], [7, 6, 11, 8, 9, 13]]
14: [[5, 4, 3, 1], [10, 12, 2, 7], [6, 11, 8, 9, 13]]
15: [[5, 4, 3, 1], [10, 12, 2, 7], [6, 11, 8, 9, 13]]
16: [[5, 4, 3, 1], [10, 12, 2, 7], [6, 11, 8, 9, 13]]
17: [[5, 4, 3, 1], [10, 12, 2, 7], [6, 11, 8, 9, 13]]
18: [[5, 4, 3, 1, 10], [12, 2, 7], [6, 11, 8, 9, 13]]
19: [[5, 4, 3], [1, 10, 12, 2], [7, 6, 11, 8, 9, 13]]
20: [[5, 4, 3], [1, 10, 12, 2], [7, 6, 11, 8, 9, 13]]
21: [[5, 4, 3], [1, 10, 12, 2], [7, 6, 11, 8, 9, 13]]
22: [[5, 4, 3, 1], [10, 12], [2, 7, 6, 11, 8, 9, 13]]
23: [[5, 4, 3, 1], [10, 12], [2, 7, 6, 11, 8, 9, 13]]
24: [[5, 4, 3, 1, 10], [12, 2, 7, 6], [11, 8, 9, 13]]
25: [[5, 4, 3, 1, 10, 12], [2, 7], [6, 11, 8, 9, 13]]
26: [[5, 4, 3, 1, 10, 12], [2, 7], [6, 11, 8, 9, 13]]
27: [[5, 4, 3], [1, 10, 12], [2, 7, 6, 11, 8, 9, 13]]
