0: [[5, 2, 1, 7, 10, 8], [3, 6, 11, 12, 14, 13, 15, 16, 4, 9], [17, 18, 20, 19]]
1: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
2: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
3: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
4: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
5: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
6: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
7: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
8: [[5, 2, 1, 7, 10, 8, 3], [6, 4, 11, 9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
9: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
10: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
11: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
12: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
13: [[5, 2, 1, 7, 10, 8], [3, 6, 4, 11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
14: [[5, 2, 1, 7, 10], [8, 3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
15: [[5, 2, 1, 7, 10], [8, 3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
16: [[5, 2, 1, 7, 10], [8, 3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
17: [[5, 2, 1, 7, 10], [8, 3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
18: [[5, 2, 1, 7, 10], [8, 3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
19: [[5, 2, 1, 7, 10], [8, 3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
20: [[5, 2, 1, 7, 10], [8, 3, 6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
21: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
22: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
23: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
24: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
25: [[5, 2, 1, 7, 10, 8, 3], [6, 4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
26: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
27: [[5, 2, 1, 7, 10, 8, 3, 6], [4, 11, 9, 12, 14, 13], [15, 16, 17, 18, 20, 19]]
28: [[5, 2, 1, 7, 10, 8, 3], [6, 4, 11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
29: [[5, 2, 1, 7, 10, 8, 3, 6], [4, 11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
30: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
31: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
32: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
33: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14, 13, 15], [16, 17, 18, 20, 19]]
34: [[5, 2, 1, 7, 10, 8, 3, 6, 4, 11], [9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
35: [[5, 2, 1, 7, 10, 8, 3, 6, 4, 11], [9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
36: [[5, 2, 1, 7, 10, 8, 3, 6, 4, 11], [9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
37: [[5, 2, 1, 7, 10, 8, 3, 6, 4, 11], [9, 12, 14, 13, 15, 16], [17, 18, 20, 19]]
38: [[5, 2, 1, 7, 10], [8, 3, 6, 4, 11, 9, 12, 14], [13, 15, 16, 17, 18, 20, 19]]
39: [[5, 2, 1, 7, 10, 8, 3, 6, 4], [11, 9, 12, 14], [13, 15, 16, 17, 18, 20, 19]]
40: [[5, 2, 1, 7, 10, 8, 3], [6, 4, 11, 9, 12, 14], [13, 15, 16, 17, 18, 20, 19]]
41: [[5, 2, 1, 7], [10, 8, 3, 6, 4, 11, 9, 12, 14], [13, 15, 16, 17, 18, 20, 19]]
