0: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
1: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
2: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
3: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
4: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
5: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
6: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
7: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
8: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
9: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
10: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
11: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
12: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
13: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13, 12], [18, 17, 16, 19, 22], [21, 23, 24]]
14: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13, 12], [18, 17, 16, 19, 22], [21, 23, 24]]
15: [[20, 9, 1, 2], [5, 6, 3, 4, 14], [7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
16: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
17: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
18: [[20, 9, 1, 2], [5, 6, 3, 4, 14], [7, 10, 11], [8, 15, 13, 12], [18, 17, 16, 19, 22], [21, 23, 24]]
19: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10], [11, 8, 15, 13, 12, 18], [17, 16, 19, 22], [21, 23, 24]]
20: [[20, 9, 1], [2, 5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13, 12], [18, 17, 16, 19, 22], [21, 23, 24]]
21: [[20, 9, 1], [2, 5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13, 12], [18, 17, 16, 19, 22], [21, 23, 24]]
22: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11], [8, 15, 13, 12], [18, 17, 16, 19], [22, 21, 23, 24]]
23: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11, 8], [15, 13, 12], [18, 17, 16, 19, 22], [21, 23, 24]]
24: [[20, 9, 1, 2], [5, 6, 3], [4, 14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
25: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
26: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
27: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10, 11], [8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
28: [[20, 9, 1, 2], [5, 6, 3, 4], [14, 7, 10, 11, 8], [15, 13, 12, 18, 17], [16, 19, 22], [21, 23, 24]]
29: [[20, 9, 1, 2, 5], [6, 3, 4], [14, 7, 10, 11], [8, 15, 13, 12], [18, 17, 16, 19], [22, 21, 23, 24]]
30: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
31: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
32: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
33: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
34: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
35: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
36: [[20, 9, 1], [2, 5, 6, 3], [4, 14, 7, 10], [11, 8, 15, 13], [12, 18, 17, 16, 19, 22], [21, 23, 24]]
37: [[20, 9, 1, 2, 5, 6], [3, 4, 14], [7, 10, 11], [8, 15, 13, 12, 18], [17, 16, 19, 22], [21, 23, 24]]
