0: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
1: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
2: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
3: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
4: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
5: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
6: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
7: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
8: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
9: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
10: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
11: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
12: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
13: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
14: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
15: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
16: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
17: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
18: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
19: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
20: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
21: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
22: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
23: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
24: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
25: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
26: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
27: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
28: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
29: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
30: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
31: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
32: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
33: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
34: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
35: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
36: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
37: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
38: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
39: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
40: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
41: [[2, 3, 1, 8, 4], [5, 6, 7, 11, 10, 9], [12, 13, 14, 16, 15], [17, 18, 19, 20]]
