0: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
1: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
2: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
3: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
4: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
5: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
6: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
7: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
8: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
9: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
10: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
11: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
12: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
13: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
14: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
15: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
16: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
17: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
18: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
19: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
20: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
21: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
22: [[3, 5, 4, 1, 10, 2, 6, 13, 14], [9, 7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
23: [[3, 5, 4, 1, 10, 2, 6, 13, 14], [9, 7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
24: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
25: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
26: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
27: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
28: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
29: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
30: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
31: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
32: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
33: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
34: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
35: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
36: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
37: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
38: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7, 8], [11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
39: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7, 8], [11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
40: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7, 8], [11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
41: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7, 8], [11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
42: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7, 8], [11, 12, 15, 16, 22, 17, 19, 18, 20], [21, 23, 24]]
43: [[3, 5, 4, 1, 10, 2, 6, 13, 14], [9, 7, 8, 11, 12, 15, 16, 22, 17, 19, 18, 20, 21], [23, 24]]
44: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20, 21], [23, 24]]
45: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18, 20, 21], [23, 24]]
46: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18], [20, 21, 23, 24]]
47: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9], [7, 8, 11, 12, 15, 16, 22, 17, 19, 18], [20, 21, 23, 24]]
48: [[3, 5, 4, 1, 10, 2, 6, 13, 14], [9, 7, 8, 11, 12, 15, 16, 22, 17, 19, 18], [20, 21, 23, 24]]
49: [[3, 5, 4, 1, 10, 2, 6, 13, 14, 9, 7], [8, 11, 12, 15, 16, 22, 17, 19, 18], [20, 21, 23, 24]]
