0: [[14, 11, 6, 3, 4], [13, 12], [17, 18, 20], [1, 2], [5, 7, 8, 10, 9], [15, 16, 19]]
1: [[14, 11, 6], [3, 4], [13, 12], [17, 18, 20], [1, 2], [5, 7, 8, 10, 9], [15, 16, 19]]
2: [[14, 11], [6, 3, 4], [13, 12], [17, 18, 20], [1, 2, 5], [7, 8, 10], [9, 15, 16, 19]]
3: [[14, 11], [6, 3, 4], [13, 12], [17, 18, 20, 1], [2, 5, 7], [8, 10], [9, 15, 16, 19]]
4: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7, 8, 10, 9], [15, 16, 19]]
5: [[14, 11], [6, 3], [4, 13, 12], [17, 18, 20], [1, 2], [5, 7], [8, 10, 9], [15, 16, 19]]
6: [[14, 11, 6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15], [16, 19]]
7: [[14, 11], [6, 3], [4, 13, 12], [17, 18, 20], [1, 2], [5, 7], [8, 10], [9, 15, 16], [19]]
8: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15, 16, 19]]
9: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15, 16, 19]]
10: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15, 16, 19]]
11: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15, 16, 19]]
12: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15, 16, 19]]
13: [[14, 11], [6, 3], [4, 13, 12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15, 16, 19]]
14: [[14, 11], [6, 3], [4, 13, 12, 17], [18, 20], [1, 2], [5, 7, 8, 10], [9, 15, 16, 19]]
15: [[14, 11, 6, 3, 4], [13, 12, 17], [18, 20], [1, 2, 5, 7, 8], [10, 9, 15], [16, 19]]
16: [[14, 11], [6, 3, 4], [13, 12], [17, 18, 20, 1, 2], [5, 7], [8, 10], [9, 15, 16, 19]]
17: [[14, 11, 6, 3], [4, 13], [12, 17, 18], [20, 1], [2, 5, 7, 8], [10, 9, 15, 16, 19]]
18: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20, 1], [2, 5, 7], [8, 10, 9], [15, 16, 19]]
19: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20, 1], [2, 5, 7], [8, 10, 9], [15, 16, 19]]
20: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7, 8], [10, 9], [15, 16, 19]]
21: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15], [16, 19]]
22: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15], [16, 19]]
23: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15], [16, 19]]
24: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10], [9, 15], [16, 19]]
25: [[14, 11], [6, 3], [4, 13, 12], [17, 18, 20], [1, 2], [5, 7], [8, 10, 9, 15], [16, 19]]
26: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7, 8, 10, 9, 15, 16, 19]]
27: [[14, 11], [6, 3, 4], [13, 12, 17], [18, 20, 1], [2, 5, 7], [8, 10, 9, 15, 16, 19]]
28: [[14, 11], [6, 3], [4, 13, 12], [17, 18], [20, 1], [2, 5, 7, 8], [10, 9], [15, 16, 19]]
29: [[14, 11], [6, 3], [4, 13, 12], [17, 18, 20], [1, 2, 5, 7, 8, 10, 9, 15, 16, 19]]
30: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10, 9, 15], [16, 19]]
31: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2], [5, 7], [8, 10, 9, 15], [16, 19]]
32: [[14, 11], [6, 3], [4, 13], [12, 17, 18], [20, 1], [2, 5, 7], [8, 10, 9, 15, 16, 19]]
33: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2, 5, 7, 8], [10, 9, 15], [16, 19]]
34: [[14, 11], [6, 3, 4, 13, 12], [17, 18, 20], [1, 2, 5, 7, 8, 10, 9, 15, 16, 19]]
35: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2, 5, 7, 8, 10, 9, 15, 16, 19]]
36: [[14, 11], [6, 3], [4, 13], [12, 17, 18], [20, 1, 2, 5, 7, 8, 10, 9, 15, 16, 19]]
37: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20], [1, 2, 5], [7, 8, 10, 9, 15], [16, 19]]
38: [[14, 11], [6, 3], [4, 13], [12, 17], [18, 20, 1, 2], [5, 7], [8, 10], [9, 15], [16, 19]]
39: [[14, 11], [6, 3, 4], [13, 12], [17, 18], [20, 1], [2, 5, 7], [8, 10, 9, 15], [16, 19]]
40: [[14, 11], [6, 3], [4, 13, 12, 17], [18, 20], [1, 2, 5], [7, 8], [10, 9, 15], [16, 19]]
41: [[14, 11], [6, 3, 4], [13], [12, 17, 18, 20, 1, 2, 5, 7, 8, 10, 9, 15, 16, 19]]
