0: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14], [13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
1: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
2: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
3: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
4: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
5: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
6: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14, 13], [9, 11, 12], [15, 16, 17, 18, 19, 20]]
7: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14, 13], [9, 11, 12], [15, 16, 17, 18, 19, 20]]
8: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14], [13, 9, 11, 12, 15], [16, 17, 18, 19, 20]]
9: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14], [13, 9, 11, 12, 15], [16, 17, 18, 19, 20]]
10: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14, 13], [9, 11, 12, 15, 16], [17, 18, 19, 20]]
11: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
12: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
13: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
14: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
15: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
16: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
17: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
18: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
19: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
20: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
21: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
22: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
23: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14, 13], [9, 11, 12, 15], [16, 17, 18, 19, 20]]
24: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14, 13], [9, 11, 12, 15], [16, 17, 18, 19, 20]]
25: [[10, 2, 1, 5, 6, 3, 7, 4, 8, 14, 13], [9, 11, 12, 15], [16, 17, 18, 19, 20]]
26: [[10, 2, 1], [5, 6, 3, 7, 4, 8, 14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
27: [[10, 2, 1], [5, 6, 3, 7, 4, 8, 14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
28: [[10, 2, 1], [5, 6, 3, 7, 4, 8, 14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
29: [[10, 2, 1], [5, 6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
30: [[10, 2, 1], [5, 6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
31: [[10, 2, 1, 5, 6, 3, 7, 4, 8], [14, 13, 9], [11, 12, 15, 16, 17, 18, 19, 20]]
32: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12, 15], [16, 17, 18, 19, 20]]
33: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12, 15], [16, 17, 18, 19, 20]]
34: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13, 9, 11, 12, 15], [16, 17, 18, 19, 20]]
35: [[10, 2, 1, 5, 6], [3, 7, 4, 8, 14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
36: [[10, 2, 1, 5, 6], [3, 7, 4, 8, 14, 13, 9, 11], [12, 15, 16, 17, 18, 19, 20]]
37: [[10, 2, 1, 5], [6, 3, 7, 4, 8, 14, 13], [9, 11, 12, 15, 16, 17, 18, 19, 20]]
38: [[10, 2, 1, 5, 6, 3], [7, 4, 8, 14, 13, 9, 11, 12, 15, 16], [17, 18, 19, 20]]
39: [[10, 2, 1, 5, 6], [3, 7, 4, 8, 14, 13, 9], [11, 12, 15, 16, 17, 18, 19, 20]]
40: [[10, 2, 1, 5, 6], [3, 7, 4, 8, 14, 13, 9, 11, 12, 15], [16, 17, 18, 19, 20]]
41: [[10, 2], [1, 5, 6, 3, 7, 4, 8, 14, 13, 9, 11, 12], [15, 16, 17, 18, 19, 20]]
