0: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
1: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
2: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
3: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
4: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
5: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
6: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
7: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
8: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
9: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
10: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
11: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
12: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
13: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
14: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
15: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
16: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
17: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
18: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
19: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
20: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
21: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
22: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
23: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
24: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
25: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
26: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
27: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
28: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
29: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
30: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
31: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
32: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
33: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
34: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
35: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
36: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
37: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
38: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
39: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
40: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
41: [[8, 10, 1, 7, 6, 2, 5], [3, 12, 9, 11, 4, 13], [14, 15, 17, 16, 20, 19, 18]]
