0: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
1: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
2: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
3: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
4: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
5: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
6: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
7: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
8: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
9: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
10: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
11: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
12: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
13: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
14: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
15: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
16: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
17: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
18: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
19: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
20: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
21: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
22: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
23: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
24: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
25: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
26: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
27: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
28: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
29: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
30: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
31: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
32: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
33: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
34: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
35: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
36: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
37: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
38: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
39: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
40: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
41: [[2, 7, 5, 4], [3, 8, 1], [13, 11, 12, 9], [10, 14, 6, 16, 15], [19, 18, 17, 20]]
