0: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
1: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
2: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
3: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
4: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
5: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
6: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
7: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
8: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
9: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
10: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
11: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
12: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
13: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
14: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
15: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
16: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
17: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
18: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
19: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
20: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
21: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
22: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
23: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
24: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
25: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
26: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
27: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
28: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
29: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
30: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
31: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
32: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
33: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
34: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
35: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
36: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
37: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
38: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
39: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
40: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
41: [[10, 1, 5, 7, 2, 4, 6], [12, 13, 3, 8, 11, 9], [14, 15, 20, 19, 17, 16, 18]]
