,mq,No. Clus,Max clus,Min clus
0,1.3061681349707912,3,8,8
1,1.3061681349707912,3,8,8
2,1.3061681349707912,3,8,8
3,1.3061681349707912,3,8,8
4,1.3061681349707912,3,8,8
5,1.3061681349707912,3,8,8
6,1.3061681349707912,3,8,8
7,1.3061681349707912,3,8,8
8,1.3061681349707912,3,8,8
9,1.3061681349707912,3,8,8
10,1.3061681349707912,3,8,8
11,1.3061681349707912,3,8,8
12,1.3061681349707912,3,8,8
13,1.3061681349707912,3,8,8
14,1.3061681349707912,3,8,8
15,1.3061681349707912,3,8,8
16,1.3061681349707912,3,8,8
17,1.3061681349707912,3,8,8
18,1.3061681349707912,3,8,8
19,1.3061681349707912,3,8,8
20,1.3061681349707912,3,8,8
21,1.3061681349707912,3,8,8
22,1.3061681349707912,3,8,8
23,1.3061681349707912,3,8,8
24,1.3061681349707912,3,8,8
25,1.3061681349707912,3,8,8
26,1.3061681349707912,3,8,8
27,1.3061681349707912,3,8,8
28,1.3061681349707912,3,8,8
29,1.3061681349707912,3,8,8
30,1.3061681349707912,3,8,8
31,1.3061681349707912,3,8,8
32,1.3061681349707912,3,8,8
33,1.3061681349707912,3,8,8
34,1.3061681349707912,3,8,8
35,1.3061681349707912,3,8,8
36,1.3061681349707912,3,8,8
37,1.3061681349707912,3,8,8
38,1.3061681349707912,3,8,8
39,1.3061681349707912,3,8,8
40,1.3061681349707912,3,8,8
41,1.3061681349707912,3,8,8
42,1.3061681349707912,3,8,8
43,1.3061681349707912,3,8,8
44,1.3061681349707912,3,8,8
45,1.3061681349707912,3,8,8
46,1.3061681349707912,3,8,8
47,1.3061681349707912,3,8,8
