0: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
1: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
2: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
3: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
4: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
5: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
6: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
7: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
8: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
9: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
10: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
11: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
12: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
13: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
14: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
15: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
16: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
17: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
18: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
19: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
20: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
21: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
22: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
23: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
24: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
25: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
26: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
27: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
28: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
29: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
30: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
31: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
32: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
33: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
34: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
35: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
36: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
37: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
38: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
39: [[1, 12, 11, 9, 3, 13, 4], [14, 5, 7, 2, 6, 8, 10], [15, 16, 17, 18, 19, 20]]
